Food_TPEN,Male_TPEN,Male_Zn,Female_TPEN,Female_Zn,Day1_egg,Day1_hatch,Day2_egg,Day2_hatch,Day3_egg,Day3_hatch,Mean_hatch,Mean_egg
50,0,0,0,0,29,0.896551724,24,1,13,1,0.954545455,22
50,0,0,0,0,22,0.954545455,18,1,34,1,0.986486486,24.66666667
50,0,0,0,0,11,1,0,0,0,,1,3.666666667
50,0,0,0,0,24,1,17,0.941176471,21,0.952380952,0.967741935,20.66666667
50,0,0,0,0,23,1,18,0.944444444,24,0.833333333,0.923076923,21.66666667
50,0,0,0,0,16,1,27,0.962962963,0,,0.976744186,14.33333333
50,0,0,0,0,18,0.944444444,23,1,17,0.882352941,0.948275862,19.33333333
50,0,0,0,0,24,0.916666667,9,1,18,1,0.960784314,17
50,0,0,50,0,8,1,0,,22,0.318181818,0.5,10
50,0,0,50,0,15,0.733333333,15,0,10,0,0.275,13.33333333
50,0,0,50,0,25,0.96,9,0,14,0.214285714,0.5625,16
50,0,0,50,0,13,0.846153846,12,0,8,0.125,0.363636364,11
50,0,0,50,0,24,0.875,12,0,13,0.076923077,0.448979592,16.33333333
50,0,0,50,0,11,0.818181818,13,0,10,0.1,0.294117647,11.33333333
50,0,0,50,0,16,1,19,0.052631579,11,0.363636364,0.456521739,15.33333333
50,0,0,50,0,14,1,20,0.1,10,0.3,0.431818182,14.66666667
50,0,0,50,0,17,1,20,0.2,13,0.076923077,0.44,16.66666667
50,0,0,50,0,25,0.92,8,1,0,,0.939393939,11
50,0,0,50,50,15,0.866666667,22,1,10,0.8,0.914893617,15.66666667
50,0,0,50,50,16,0.875,22,0.954545455,22,0.954545455,0.933333333,20
50,0,0,50,50,10,0.9,20,0.9,14,0.928571429,0.909090909,14.66666667
50,0,0,50,50,9,1,19,1,0,,1,9.333333333
50,0,0,50,50,13,1,31,1,15,1,1,19.66666667
50,0,0,50,50,13,0.846153846,19,0.947368421,21,0.904761905,0.905660377,17.66666667
50,0,0,50,50,9,1,13,0.846153846,1,1,0.913043478,7.666666667
50,0,0,50,50,22,0.818181818,10,0.8,2,1,0.823529412,11.33333333
50,0,0,50,50,13,0.846153846,21,0.952380952,14,0.928571429,0.916666667,16
50,0,0,50,50,10,1,19,1,21,1,1,16.66666667
