ID,roi,roi_areas,cal,stage,focus,genotype,Al_measure,Si_measure,P_measure,S_measure,Cl_measure,Ar_measure,K_measure,Ca_measure,Sc_measure,Ti_measure,V_measure,Cr_measure,Mn_measure,Fe_measure,Co_measure,Ni_measure,Cu_measure,Zn_measure
1_0043,1,35673.2,downstream,stage14_oocyte,cell,WT,2891593.965,487845.636,4618859.166,2125477.784,-29708.53389,31991.36903,12102867.61,251365.9598,0,-1112.051366,0,-103.7412329,4413.01385,106116.2476,-131.4914152,-1666.273411,10205.03232,368538.0812
1_0044,1,27452,downstream,stage14_oocyte,cell,WT,2162223.838,132184.9488,3141667.549,1546350.022,-62096.17693,13778.98236,9636596.349,212590.8685,0,-3189.282768,0,-1539.36541,4666.83451,97758.13676,-231.2583932,-1212.664099,10108.10092,326634.1081
1_0045,1,29316,downstream,stage14_oocyte,cell,WT,2804421.329,25024.1376,3654139.726,2006897.432,-90042.44058,50898.73236,12311382.31,267715.4416,0,-2879.276803,0,-1015.793537,5349.396058,103893.7346,328.471122,-1016.132137,9908.866632,365852.1207
1_0049,1,61313.1,downstream,stage14_oocyte,cell,WT,2531018.87,81417.05236,3736171.996,1678350.464,-101917.21,5561.09817,11483274.09,280205.8334,0,-7243.940432,0,-4208.46374,3708.97657,134380.7122,-1581.59594,-2469.687376,9463.922237,367851.6345
1_0050,1,34094.1,downstream,stage14_oocyte,cell,WT,2578086.741,65065.18044,2702413.604,1149435.873,-90233.58144,30967.67103,11950009.33,199535.1407,0,-7056.67067,0,-2290.95305,3047.37839,100170.3069,-807.9858477,-2539.39437,7930.662695,337606.7368
1_0051,1,42615.1,downstream,stage14_oocyte,cell,WT,2662024.667,215990.3728,4810822.048,2043792.496,-70749.8021,24767.89612,11525172.83,326786.5219,0,-4351.483261,0,-1527.845088,6442.141713,146764.0606,-302.2348122,-1773.07155,11157.86902,444024.9363
1_0061,1,66437.2,downstream,in_vitro_egg,cell,WT,623918.3889,-15482.52509,3161268,1799591.744,-145686.1496,-60845.84525,2651062.194,711110.5702,0,-7148.582927,0,-2654.571407,2732.827785,125505.6508,-1978.426735,2846.375603,10553.08416,468529.8303
1_0062,1,63926,downstream,in_vitro_egg,cell,WT,2675482.093,143740.168,5924948.708,2435395.215,-161221.372,-26943.53048,12670354.38,357342.1209,0,-12737.52399,0,-959.976742,1379.484724,153830.8871,-3547.349629,4110.902067,6726.869054,398586.1852
1_0063,1,50195.9,downstream,in_vitro_egg,cell,WT,3298403.71,248665.469,5944779.245,2494041.017,-50521.16943,24184.38462,15065056.03,360498.0189,0,-6041.01633,0,-975.9036682,3769.752247,124673.4944,-431.8102297,-1952.416213,12380.61293,314886.8117
1_0068,1,48533.1,downstream,in_vitro_egg,cell,WT,2666248.355,37134.61613,4598231.189,2149409.666,-123193.9944,17530.15572,12308250.9,375272.6347,0,-4462.662225,0,-2170.599218,2914.407802,134366.5081,-1707.049873,-1981.722952,12184.78318,340756.1275
1_0069,1,51269,downstream,in_vitro_egg,cell,WT,1283068.248,-24777.79501,2717888.634,1381534.464,-130457.6106,7418.6243,6412849.566,220428.4508,0,-10064.65328,0,-4274.855362,3272.187529,92176.79145,-1469.820707,-2816.064668,10069.18033,362465.6777
1_0070,1,49265.1,downstream,in_vitro_egg,cell,WT,1952203.485,-22425.96617,3253112.988,1588128.977,40240.71898,-17099.91621,9684386.548,197809.0325,0,-3539.830451,0,-4378.19929,1923.363696,106324.0866,-1877.231856,-2551.601119,8602.179111,346709.5851
1_0071,1,64688.7,downstream,in_vitro_egg,cell,WT,279274.0556,357309.9751,4144251.809,2947096.204,252192.1314,-150734.3743,1915097.966,1181764.287,0,-6919.944305,0,-2338.056622,2869.170255,151330.0279,-1943.565523,-2013.448725,10306.91526,356051.9675
1_0077,1,44327.9,downstream,in_vitro_egg,cell,WT,2972642.272,136060.0563,5261837.869,2507003.393,-115255.643,14558.16892,12596303.39,414416.8383,0,-4450.685173,0,6635.620663,7537.462923,172452.1983,-58.00305715,1467.164834,15611.75445,495866.9565
1_0078,1,58752.8,downstream,in_vitro_egg,cell,WT,3143216.047,112353.567,5952863.66,2701641.165,-111156.1849,-28200.75647,12845043,680913.813,0,-4929.747688,0,-2366.59216,7688.661671,169054.5429,104.4096009,-1494.948545,18435.15982,514808.1789
