genotype,egg_hatch,egg_number
KO,0.977272727,11
KO,0.904347826,28.75
KO,0.912280702,14.25
KO,0,0.25
KO,NA,0
KO,0.936170213,23.5
KO,0.962264151,26.5
KO,NA,0
KO,0.871428571,17.5
KO,0.166666667,1.5
WT,0.894736842,19
WT,NA,0
WT,0.901408451,17.75
WT,0.93814433,24.25
WT,0.988095238,21
WT,0.878378378,18.5
WT,0.75,13
WT,NA,0
KO,0.948717949,9.75
KO,1,5.75
KO,0.913043478,5.75
KO,0.78125,8
KO,0.8125,4
KO,0.910714286,14
KO,0.944444444,13.5
KO,0.796296296,13.5
KO,0.892857143,7
KO,0.704545455,11
KO,0.911111111,11.25
KO,0.95,15
KO,0.924528302,13.25
KO,0.8125,12
KO,0.85106383,11.75
WT,0.935483871,7.75
WT,0.8125,4
WT,1,3.25
WT,0.480769231,13
WT,0.555555556,2.25
WT,1,7.5
WT,0.931034483,7.25
WT,0.888888889,9
WT,0.904761905,5.25
